word,total_hits,title,year,genre,episode_title,season,episode,imdb_id,quote
undertone,53,I Love Lucy,1954,"Comedy, Family",The Charm School,3,15,tt0609347,	    (undertone):	           Posture.		 
undertone,53,Marvel's Moon Girl and Devil Dinosaur,2024,"Animation, Kids, Sci-Fi & Fantasy",Kid Kree,2,5,tt30797896,[dramatic undertone] | [dramatic undertone] | [undertone intensifies] | [dramatic undertone] | [dramatic undertone] | [undertone continues] | [undertone peaks and fades]
undertone,53,Wentworth,2017,"Drama, Crime",Snakehead,5,9,tt6749844,(tense undertone) | - Good. (chuckles quietly) - (tense undertone) | - (door closes) - (music becomes tense undertone)
undertone,53,The West Wing,2005,Drama,Things Fall Apart,6,21,tt0745718,Same extortionate undertone?
undertone,53,The Interest of Love,2022,Drama,Episode 3,1,3,tt24576306,-What? -Booze undertone. | Stinky soybean undertone. | -What's my undertone? -You know what it is.
undertone,53,The Reluctant Debutante,1958,"Comedy, Romance",,,,tt0052126,Only in an undertone.
undertone,53,Summer Storm,2004,"Comedy, Drama",,,,tt0420206,What kind of undertone? | Do I detect some kind of undertone?
undertone,53,Das perfekte Geheimnis,2019,"Comedy, Drama, Romance",,,,tt10145122,With a disgusted undertone.
undertone,53,we're here because we're here (we're doomed),2018,N/A,,,,tt31458137,continual undertone of fish.
undertone,53,The Vampire Diaries,2015,"Drama, Fantasy, Horror",Woke Up with a Monster,6,11,tt4191972,has a morbid undertone.
undertone,53,Clueless,1995,"Comedy, Romance",,,,tt0112697,but not necessarily misogynistic undertone.
manifest,1928,Warehouse 13,2013,"Drama, Mystery, Sci-Fi",Runaway,4,16,tt2426442,"- Manifest. - Yeah, okay. Manifest."
manifest,1928,Star Trek: Discovery,2020,"Action, Adventure, Drama",The Sanctuary,3,8,tt11427530,"""Manifest""? | ...to ""execute,"" ""hit it"" and ""manifest."""
manifest,1928,Be Somebody,2021,"Mystery, Comedy, Drama",,,,tt16043930,manifest
manifest,1928,Who's Yer Father?,2023,"Comedy, Mystery",,,,tt21663034,"Manifest. | Anything you wanna manifest, Blair? | Jump first, manifest the landin' later. | We're about to manifest some life changin' money here, Lar. | Like if you could manifest anything in the world right now, | You gotta stop dwellin' on the past and manifest the future!"
manifest,1928,Last Resort,2012,"Action, Drama, Mystery",Cinderella Liberty,1,9,tt2515586,Manifest. | where is your passenger manifest? | I don't have a manifest. | he'll use the manifest to choose high-value hostages.
manifest,1928,Sleep Call,2023,"Thriller, Drama, Romance",,,,tt26489336,Manifest. | Manifest! | Manifest. | Manifest. | <i>manifest your wrath!</i>
manifest,1928,Survivor,2023,Reality,Music to My Ears,45,4,tt29213367,Manifest.
manifest,1928,The Gentlemen,2024,"Comedy, Drama, Crime",Tackle Tommy Woo Woo,1,2,tt18573940,"Retribution in manifest. Retribution in manifest. | Retribution in manifest. | But rest assured, judgment will be manifest."
manifest,1928,Black Sails,2014,"Adventure, Drama",VIII.,1,8,tt2843830,Your true manifest. Your false manifest.
manifest,1928,The Ice Pirates,1984,"Action, Adventure, Comedy",,,,tt0087451,The manifest.
manifest,1928,Final Analysis,1992,"Drama, Thriller",,,,tt0104265,...can manifest...
chicanery,95,Heat Team,2004,"Comedy, Crime",,,,tt0373906,It's chicanery
chicanery,95,NCIS: Hawai'i,2023,"Crime, Drama",Past Due (1),2,21,tt27100678,"chicanery, deception."
