word,total_hits,title,year,genre,episode_title,season,episode,imdb_id,quote
chicanery,95,American Horror Story,2014,"Drama, Horror, Thriller",The Seven Wonders,3,13,tt3223272,of chicanery?
chicanery,95,Sleepy Hollow,2016,"Action, Adventure, Crime",Delaware,3,17,tt4879070,Pure chicanery.
chicanery,95,Money Money Money,1972,"Adventure, Comedy, Crime",,,,tt0066798,"its electoral chicanery,"
chicanery,95,Gilmore Girls,2006,"Comedy, Drama",French Twist,7,7,tt0868144,"Chicanery, for me? | I mean, I had backup plans that included theft and chicanery."
chicanery,95,Darkwing Duck,1991,"Animation, Action, Adventure",Jail Bird,1,62,tt0995946,CHAMPION OF CHICANERY.
chicanery,95,Midsomer Murders,2008,"Crime, Drama, Mystery",Shot at Dawn,11,1,tt1106669,its associated chicanery
chicanery,95,God's Favorite Idiot,2022,Comedy,The Preacher,1,3,tt15801576,Chicanery against God. | - Chicanery? - Turn that infernal light off immediately.
chicanery,95,Supergirl,2018,"Action, Adventure, Drama",Bunker Hill,4,8,tt9146322,Chicanery! Very good.
chicanery,95,One Night with the King,2006,"Biography, Drama, History",,,,tt0430431,through bribery or chicanery.
reclusive,224,A Simple Twist of Fate,1994,"Comedy, Drama",,,,tt0111194,...reclusive...
reclusive,224,Law & Order,1990,"Crime, Drama, Mystery, Thriller",Prisoner of Love,1,10,tt0629384,Reclusive.
reclusive,224,The Tutor,2023,"Mystery, Thriller, Action",,,,tt19637278,Reclusive.
reclusive,224,CSI: Miami,2012,"Action, Crime, Drama",At Risk,10,17,tt2273865,Reclusive.
reclusive,224,Brimstone & Treacle,1982,"Drama, Thriller",,,,tt0083693,"well, reclusive."
reclusive,224,Chuck,2009,"Action, Comedy, Drama",Chuck Versus the Colonel,2,21,tt1390600,"underachieving, reclusive,"
reclusive,224,Midnight's Children,2019,Animation,,,,tt19364838,"Reclusive, even."
reclusive,224,True Detective,2024,"Drama, Mystery",Night Country: Part 2,4,2,tt29314270,Very reclusive.
reclusive,224,The Contract,2007,"Action, Crime, Drama",,,,tt0445946,"the reclusive billionaire, | MELANIE Lydel Hammond, Jr. is the son of the reclusive billionaire."
reclusive,224,Danny Phantom,2004,"Animation, Action, Adventure",Parental Bonding,1,2,tt0554445,BROODING? MESSY? RECLUSIVE?
reclusive,224,The 100,2020,"Sci-Fi & Fantasy, Drama, Action & Adventure",Anaconda,7,8,tt10772120,THE RECLUSIVE BILLIONAIRE
glean,171,Psych,2008,"Comedy, Crime, Mystery",Disco Didn't Die. It Was Murdered!,3,5,tt1189427,Glean. | Tell me what you can glean from this. | You'd like to know what I can glean?
glean,171,Warehouse 13,2009,"Drama, Mystery, Sci-Fi",Elements,1,5,tt1431671,"""Glean."" | You have to glean how Joshua went wrong 12 years ago."
glean,171,Ouija House,2018,"Horror, Thriller",,,,tt7375304,- Glean? | The correct word's glean?
glean,171,Two and a Half Men,2010,"Comedy, Romance",Ixnay on the Oggie Day,7,18,tt1614907,"What's ""glean""? | You can't glean it from the context?"
glean,171,Warehouse 13,2009,"Drama, Mystery, Sci-Fi",Claudia,1,4,tt1431669,"""Glean."" Ms. Fancy. | You have to glean how Joshua went wrong 12 years ago."
glean,171,Wayne,2019,"Action, Comedy",Chapter Three: The Goddamned Beacon of Truth,1,3,tt8559598,"So, glean that."
glean,171,Rosencrantz & Guildenstern Are Dead,1991,"Comedy, Drama",,,,tt0100519,Glean what afflicts him! | - Glean what afflicts me. - Right. | Draw him onto pleasures... glean what afflicts him. | and to gather so much as from occasion you may glean | Hamlet is not himself outside or in. We have to glean what afflicts him.
glean,171,The Gits,2008,"Music, Documentary, Crime",,,,tt0463028,"to glean, to collect."
glean,171,Bad Sisters,2022,"Comedy, Crime, Drama",Chopped Liver,1,3,tt16463736,See what we glean.
glean,171,Midsomer Murders,2012,"Crime, Drama, Mystery",A Rare Bird,14,8,tt1979863,Glean anything from Napier?
glean,171,The Dawn of the Witch,2022,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",Respective Costs,1,8,tt20219128,to glean from you.
easel,181,Chappie,2015,"Action, Crime, Drama",,,,tt1823672,"- See, this is a easel. - Easel."
easel,181,The Beautiful Prisoner,1983,"Drama, Fantasy, Horror",,,,tt0085226,An easel.
easel,181,The West Wing,2006,Drama,Duck and Cover,7,12,tt0745611,( easel clattering )
easel,181,Ring Wandering,2022,"Drama, Fantasy",,,,tt15485264,That easel...
easel,181,Farzar,2022,"Sci-Fi & Fantasy, Comedy, Animation",Robot Revolution,1,2,tt20880774,Easel-bot? | Not Easel-bot! | and Easel-bot's back. | Easel-bot's done propping up two things:
easel,181,Color My World with Love,2022,"TV Movie, Drama, Romance",,,,tt20223030,And my easel.
easel,181,Palo Alto,2014,Drama,,,,tt2479800,You're looking at the easel. You're looking at the easel. | Don't look at the easel. | Look at the model and don't look at the easel.
easel,181,You'll Find Out,1940,"Comedy, Horror, Musical",,,,tt0033283,"Now, what's an easel? | - Well, an easel is a... - Yeah, yeah. | Now, what is a weasel? This one's very ""easel."" | An easel is a frame to support a painter's canvas... | Now, what's the difference between a weasel, an easel and a measle? | Well, an easel is a sort of stand for artists to put their paintings."
easel,181,Lust for Life,1956,"Biography, Drama",,,,tt0049456,Tie down your easel.
easel,181,Call Me Genius,1961,Comedy,,,,tt0055361,across my easel tonight.
easel,181,The Ugly Dachshund,1966,"Comedy, Family",,,,tt0061135,$ 12 to repair easel.
antagonized,48,Letterkenny,2018,Comedy,We Don't Fight at Weddings,5,1,tt8642402,Antagonized.
antagonized,48,Huang jia shi jie,1985,"Action, Comedy, Crime",,,,tt0093229,he antagonized...
antagonized,48,Boston Legal,2004,"Comedy, Crime, Drama",Loose Lips,1,8,tt0530527,"You antagonized him. | Actually, he antagonized me."
antagonized,48,Burn Notice,2007,"Action, Crime, Drama",Pilot,1,1,tt1064284,"Being alive antagonized him. | Mom, we were nothing alike. Everything I did antagonized him."
antagonized,48,Criminal Minds,2008,"Crime, Drama, Mystery",Damaged,3,14,tt1197560,I antagonized the situation.
antagonized,48,Death and Other Details,2024,"Mystery, Drama, Crime",Sordid,1,2,tt18749708,He antagonized my daughter.
antagonized,48,The American Vice President: Rethinking a Political Afterthought,2024,Documentary,,,,tt32466401,"who antagonized  the press,"
antagonized,48,NCIS,2017,"Action, Crime, Drama",House Divided,15,1,tt5592144,Council rebels you antagonized...
antagonized,48,Utopia,2020,"Action, Drama, Mystery",Tuesday's Child,1,3,tt8304474,I antagonized the FDA.
antagonized,48,Zee-Oui,2004,"Horror, Thriller",,,,tt0471977,You antagonized the wrong person.
antagonized,48,Cheers,1989,"Comedy, Drama",The Visiting Lecher,7,22,tt0539914,Somehow I've antagonized Miss Howe.
windle,3,The Misadventures of Mr. Wilt,1989,"Comedy, Crime",,,,tt0097891,in front of Alison Windle. | Alison Windle sat two desks in front of me
windle,3,"Now, Voyager",1942,"Drama, Romance",,,,tt0035140,"This is Dr. Jaquith. My mother-in-law, Mrs. Henry Windle Vale."
windle,3,Suicide Kings,1998,"Comedy, Crime, Drama",,,,tt0120241,"I'm at 7739 Windle lane. I saw lights on... It's, uh, putting..."
bellicose,34,So I Married an Axe Murderer,1993,"Comedy, Romance",,,,tt0108174,Bellicose butcher
bellicose,34,Lost in Space,1967,"Sci-Fi & Fantasy, Comedy",Kidnapped in Space,3,3,tt0636204,you bellicose bumpkin.
bellicose,34,The Nature of Love,2023,"Romance, Comedy, Drama",,,,tt22487338,Mosquitos are bellicose.
bellicose,34,Lost in Space,1966,"Sci-Fi & Fantasy, Comedy",The Android Machine,2,7,tt0636214,"Silence, you bellicose bumpkin!"
bellicose,34,Lost in Space,1966,"Sci-Fi & Fantasy, Comedy",The Wreck of the Robot,2,13,tt0636252,"as a bellicose bumpkin. | Well, where are you, you bellicose bumpkin?"
bellicose,34,The Simpsons,2009,"Animation, Comedy",How the Test Was Won,20,11,tt1291156,As peaceful is to bellicose
bellicose,34,Freud's Last Session,2023,Drama,,,,tt20420628,Never met anyone more bellicose.
bellicose,34,A Storm in Summer,2000,"Drama, TV Movie",,,,tt0217066,from the bellicose to the varicose.
bellicose,34,Lost in Space,1967,"Sci-Fi & Fantasy, Comedy",The Cave of the Wizards,2,22,tt0636261,"Hold your tongue, you bellicose bumpkin!"
bellicose,34,Star Trek: The Animated Series,1973,"Animation, Action, Adventure",The Infinite Vulcan,1,7,tt0832421,"When you are not being bellicose,"
bellicose,34,The Proud Family: Louder and Prouder,2023,"Family, Animation, Comedy",Us Again,2,8,tt26229304,This bellicose behavior is utterly unwarranted.
incentive,1222,A Piece of the Action,1978,"Crime, Comedy",,,,tt0076543,Incentive? | Half. It's called incentive.
incentive,1222,Down and Out in Beverly Hills,1986,Comedy,,,,tt0090966,incentive.
incentive,1222,...First Do No Harm,1997,"Drama, TV Movie",,,,tt0118526,Incentive.
incentive,1222,Lucky 13,2005,"Comedy, Romance",,,,tt0222167,Incentive.
incentive,1222,Law & Order: Special Victims Unit,2003,"Crime, Drama, Mystery",Risk,4,12,tt0629719,Incentive.
incentive,1222,Married... with Children,1990,Comedy,And Baby Makes Money,5,11,tt0642221,"Incentive. | Incentive. | I need some incentive. | I need some real incentive. | Oh, no, no, no. That's my incentive."
incentive,1222,Alias,2006,"Action, Drama, Mystery",There's Only One Sydney Bristow,5,12,tt0766165,Incentive.
incentive,1222,Good Girls,2020,"Comedy, Crime, Drama",Incentive,3,9,tt11438382,- Incentive.
incentive,1222,How We Roll,2022,Comedy,The Sponsor,1,2,tt17512616,Incentive.
incentive,1222,Vampire Academy,2022,"Drama, Sci-Fi & Fantasy",The Trials,1,8,tt18936824,Incentive.
incentive,1222,Graceland,2013,"Action, Crime, Drama",Guadalajara Dog,1,2,tt2516714,Incentive.
trait,922,I Never Promised You a Rose Garden,1977,"Drama, Fantasy",,,,tt0076172,"Trait, trait,"
trait,922,New Amsterdam,2021,Drama,Seed Money,4,4,tt15523024,Trait? | sickle cell disease or the trait?
trait,922,The Survivor,1981,"Fantasy, Horror, Mystery",,,,tt0083144,Sad trait.
trait,922,Deadly Circuit,1983,"Crime, Mystery, Romance",,,,tt0084358,Distinguishing trait:
trait,922,Livvakterna,2001,"Action, Crime, Thriller",,,,tt0220623,Family trait.
trait,922,The Addams Family,1964,"Comedy, Family, Horror",The Addams Family Meet the VIPs,1,11,tt0505458,Family trait.
trait,922,Survivor,2003,"Adventure, Game-Show, Reality-TV",The Great Lie,7,11,tt0761419,    personality trait           
trait,922,Letters to Juliet,2010,"Adventure, Comedy, Drama",,,,tt0892318,Admirable trait.
trait,922,A Christmas Tale,2008,"Comedy, Drama",,,,tt0993789,Family trait.
trait,922,Little Lord Fauntleroy,1980,"Drama, Family, Romance",,,,tt0081062,- I just got a trait. - What trait?
trait,922,Unforgivable Blackness: The Rise and Fall of Jack Johnson,2004,Documentary,,,,tt0413615,"EVERY TRAIT  THAT WAS A POSITIVE TRAIT, | THEY TRIED TO TURN IT  INTO A NEGATIVE TRAIT."
render,1287,The Adjuster,1992,"Comedy, Drama",,,,tt0101273,"Mister Render... | Hello, Mister Render. | Hi, Mister Render. | You're Wonderful, Mister Render. | Isn't It, Mister Render? | You Know, Mister Render, I Hear Them Talking About You."
render,1287,Prodigal Son,2019,"Crime, Drama, Mystery",Fear Response,1,3,tt11012770,Dominic Render. | Dominic Render. | Has Dominic Render ever been here? | Gil and Dani are closing in on Render.
render,1287,Community,2012,Comedy,Virtual Systems Analysis,3,16,tt2194837,Render environment: | Right. Render environment: | Render environment: Señor Kevin's. | Render environment: Bio Lab.
render,1287,Anal Brats 2,2016,N/A,,,,tt28705234,Render environment: | Right. Render environment: | Render environment: Señor Kevin's. | Render environment: Bio Lab.
render,1287,OtherLife,2017,"Crime, Drama, Mystery",,,,tt4693358,Render it. | We need a reliable render farm.
render,1287,Teen Wolf,2017,"Action, Drama, Fantasy",Genotype,6,18,tt5535238,Render unconscious. | It'll drop my blood pressure and render me unconscious.
render,1287,Midnight in the Garden of Good and Evil,1997,"Crime, Drama, Mystery",,,,tt0119668,...you will render...
render,1287,The Ghost of Yotsuya,1959,Horror,,,,tt0155278,...and render assistance?
render,1287,Andromeda,2004,"Action, Adventure, Drama",Fear Burns Down to Ashes,4,15,tt0512239,"to render images,"
render,1287,Matlock,1987,"Crime, Drama, Mystery",Blind Justice,2,2,tt0643933,render someone unconscious.
render,1287,NCIS,2004,"Crime, Drama, Action & Adventure","One Shot, One Kill",1,13,tt0658013,"Render the service,"
figurative,160,My Little Business,1999,Comedy,,,,tt0210163,"- Figurative - Lift. | Too figurative. | Too figurative, this is far better."
figurative,160,Elsa y Fred,2005,"Comedy, Drama, Romance",,,,tt0453047,figurative painting.
figurative,160,Law & Order,2008,"Crime, Drama, Mystery",Betrayal,18,11,tt1031378,Figurative explosions.
figurative,160,Echoes of Dreams,2024,N/A,,,,tt29010106,"‫‫Well, figurative--"
figurative,160,Ya shagayu po Moskve,1964,"Comedy, Romance",,,,tt0057694,I'm being figurative.
figurative,160,P.S.,2004,"Drama, Romance",,,,tt0380609,I'm more figurative.
figurative,160,The Smurfs,2011,"Animation, Family, Adventure, Comedy, Fantasy",,,,tt0472181,"""A figurative construct..."""
figurative,160,Sabrina the Teenage Witch,2000,"Comedy, Family, Fantasy",Love in Bloom,4,15,tt0693077,literal or figurative.
figurative,160,Last Week Tonight with John Oliver,2019,"Talk, Comedy, News",SLAPP Suits,6,29,tt11110668,"loose, figurative language | figurative things about Bob Murray right now."
figurative,160,FBI: International,2023,"Crime, Drama",A Tradition of Secrets,2,20,tt27099919,It was figurative.
figurative,160,A Revolution on Canvas,2023,Documentary,,,,tt27549854,and Iranian figurative.
novitiate,33,The Riot Club,2015,"Drama, Thriller",,,,tt2717860,Whoo! Novitiate.
novitiate,33,Chemical Wedding,2009,"Horror, Mystery, Sci-Fi",,,,tt0974536,Bring forth the novitiate.
novitiate,33,"Heaven Knows, Mr. Allison",1957,"Adventure, Drama, War",,,,tt0050490,"We took our novitiate together. | Even after our novitiate, we have five years,"
novitiate,33,The Great Impostor,1961,"Comedy, Drama",,,,tt0053879,a novitiate of two years.
novitiate,33,Miss Fisher's Murder Mysteries,2012,"Crime, Drama, Mystery",Death at Victoria Dock,1,4,tt1994944,about Lila beginning her novitiate.
novitiate,33,The Song of Bernadette,1945,"Biography, Drama",,,,tt0036377,Before actually entering upon your novitiate...
novitiate,33,Helstrom,2020,"Action & Adventure, Sci-Fi & Fantasy, Drama",Leviathan,1,6,tt11443342,Is there a novitiate swear jar?
novitiate,33,The 100,2017,"Drama, Mystery, Sci-Fi","Die All, Die Merrily",4,10,tt6681358,"You're wrong. She's a nightblood novitiate,"
novitiate,33,Andromeda,2003,"Action, Adventure, Drama",What Happens to a Rev Deferred?,3,15,tt0512314,"when i was at the krishnamurti novitiate,"
novitiate,33,Jane the Virgin,2016,"Comedy, Drama",Chapter Fifty-One,3,7,tt6186512,"It's her novitiate, not junior nun training. | During my novitiate in Orvieto, the convent was in financial trouble."
novitiate,33,The Sopranos,2006,"Crime, Drama",The Fleshy Part of the Thigh,6,4,tt0705277,"During the war, I was still a novitiate."
physiotherapist,69,Look to the Light,2024,Drama,,,,tt28238336,"-Physiotherapist. -Physiotherapist,"
physiotherapist,69,Manuale d'amore 2 (Capitoli successivi),2007,"Comedy, Romance",,,,tt0847745,"- Physiotherapist? - Yes, physiotherapist. | - Nadine, my physiotherapist. - Pleasure. - Physiotherapist? | - Yes - Physiotherapist what? | - Who is? - The physiotherapist. | J Baldoni 'm your new physiotherapist. | - I am Alice, your new physiotherapist. - Pleasure."
physiotherapist,69,Miraculous: Tales of Ladybug & Cat Noir,2023,"Action & Adventure, Animation, Kids",Confrontation,5,21,tt27126910,Physiotherapist?
physiotherapist,69,Bigil,2019,"Action, Drama, Sport",,,,tt9260636,"Physiotherapist | - Sir, busiyo? - Physiotherapist, huh? | She is Angel, our team's physiotherapist"
physiotherapist,69,Khoobsurat,2014,"Comedy, Romance",,,,tt3554418,"New physiotherapist? | Mili Chakravany, Physiotherapist. | She's a sports physiotherapist. | It's dad's new physiotherapist. | The 40th physiotherapist. - May I? | ..a new Physiotherapist for your dad. | This is Dr. Mili, dad's physiotherapist. | Your new physiotherapist, Dr. Chakravany's arriving day after. | I am the physiotherapist... of, King Shekhar Singh Rathore."
physiotherapist,69,The Family Way,1967,"Comedy, Drama, Romance",,,,tt0060395,He's a physiotherapist.
physiotherapist,69,The Holy Girl,2004,Drama,,,,tt0300270,I'm a physiotherapist.
physiotherapist,69,Due South,1995,"Drama, Crime, Comedy",Letting Go,1,22,tt0567041,- I'm the.. - Physiotherapist.
physiotherapist,69,Wheel of Love,2023,"Romance, Comedy",,,,tt21966506,I'm a physiotherapist.
physiotherapist,69,Death in Paradise,2013,"Comedy, Crime, Drama",Death in the Clinic,2,3,tt2633786,Mala. My physiotherapist.
physiotherapist,69,Para - We Are King,2023,Drama,Reset,2,1,tt26937412,(physiotherapist) Mr. Neumann? | (physiotherapist) Thank you. See you. - Have a nice day.
poke,3082,Everybody Loves Raymond,2001,Comedy,Stefania Arrives,5,17,tt0574227,"Poke poke poke poke. | But don't poke me. | he used to poke me quite a bit, all right? | if I had to choose someone to poke me, it would be you."
poke,3082,Drop Kick on My Devil!!,2022,"Comedy, Animation",Armageddon Karuta X,3,1,tt21285362,"Poke, poke. Poke, poke."
poke,3082,Grace Jones: Bloodlight and Bami,2018,"Documentary, Biography, Music",,,,tt6903636,"Poke,poke,poke. | Poke,poke,poke. 'Don't turn your back on me.'"
poke,3082,30 Rock,2010,Comedy,Chain Reaction of Mental Anguish,5,9,tt1635821,- Oh. - Poke poke poke poke. | He must really want us to poke things.
poke,3082,Atlantis,2014,"Adventure, Drama, Fantasy, Romance",The Price of Hope,1,10,tt3360786,"- Poke, poke, poke, poke, poke... - Stop poking me! | Touching and poking. Poke, poke, poke."
poke,3082,MASHLE: MAGIC AND MUSCLES,2023,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",Mash Burnedead and the Wolves of Magic,1,8,tt27496921,{\an8}POKE POKE POKE. | {\an8}POKE. | {\an8}POKE.
poke,3082,Dragon Ball: Mystical Adventure,1988,"Action, Animation",,,,tt0142248,(poke poke)
poke,3082,The Boxtrolls,2014,"Animation, Adventure, Comedy",,,,tt0787474,Poke. Poke!
poke,3082,Smile of the Arsnotoria the Animation,2022,"Animation, Comedy",Uh~ Uh~ Uo~~,1,9,tt21951280,"Poke, poke."
poke,3082,Fuuto PI,2022,"Animation, Action & Adventure, Sci-Fi & Fantasy",Superhuman r / In Search of a Connection,1,11,tt22694900,"Poke, poke..."
poke,3082,ONIMAI: I'm Now Your Sister!,2023,"Animation, Comedy",Mahiro's Role-Playing Game,1,7,tt25816952,"Poke, poke."
fun,68204,The Simpsons,2014,"Animation, Comedy",The Yellow Badge of Cowardge,25,22,tt3683030,Fun! Fun! Fun! Fun! Fun! Fun! Fun! Fun!
fun,68204,Monk,2009,"Comedy, Crime, Drama",Mr. Monk Goes Camping,8,12,tt1535240,"Fun, fun, fun. Fun, fun, fun. | Have fun. Yeah. | It's fun to laugh. | All right, this is fun. | Oh, 'cause this is more fun. | Well, at least try to have some fun. | Natalie, it's a game. It's not supposed to be fun. | It's gonna be so much fun. Everybody's gonna get a badge. | you know, you must be very proud. We're gonna have fun."
fun,68204,Love Wedding Repeat,2020,"Comedy, Romance",,,,tt5096470,"Fun, fun, fun, fun, fun! | - The fun train. Get aboard. - Ho! | That's the fun car, ready to pick you all up. | Oh, we're sat beside each other. How fun is that?"
fun,68204,Crazy Ex-Girlfriend,2018,"Comedy, Musical",I See You,4,6,tt8510304,"Fun. Fun, fun, fun. Fun. | and we're just gonna have fun, fun, fun. | ♪ Sun fun, fun in the sun ♪ | Oh, you're fun. | We are fun. | You know, we're fun people, we're really fun people. | See friends, have fun. | Eat food for fun instead of fuel? | - Oh, right. Boo. - If you're looking for fun, | ♪ Thought, thought, thought it'd be fun ♪ | I just wanted to have a fun day. | And anyone who said you would not be fun | I'm just looking for a fun, easy breezy day, | Um, let's do something fun. Let's sing a car song. | ♪ And you thought it would be really fun ♪ | I just want to share a fun and carefree car trip | I'm really happy that you just wanted to have fun today."
fun,68204,Rock 'n' Roll High School,1981,"Comedy, Music",,,,tt0079813,"? fun, fun, fun, fun | ? fun, fun ? fun, fun | ? fun, fun, fun, fun | ? fun, fun, fun, fun | <i>? fun, fun, fun, fun</i> | <i>? fun, fun, fun, fun</i> | ? fun, fun | ? fun, fun | ? fun, fun ? oh, baby | ? fun, fun ? oh, baby | ? fun, fun, oh, baby | ? fun, fun, oh, baby | ? fun, fun, oh, baby | ? fun, fun, oh, baby | <i>? fun, fun, oh, baby</i> | <i>? fun, fun, oh, baby</i> | <i>? fun, fun, oh, baby</i> | <i>? fun, fun, oh, baby</i> | ? fun, fun, rock 'n' roll high school... | ? fun, fun, rock 'n' roll high school | ? fun, fun ? rock 'n' roll high school | ? fun, fun ? rock 'n' roll high school | ? fun, fun ? rock 'n' roll high school | ? fun, fun, rock 'n' roll high school | ? fun, fun, rock 'n' roll high school | ? fun, fun, rock 'n' roll high school | ? fun, fun, rock 'n' roll high school | ? fun, fun, rock 'n' roll high school hey, my man. | He's lots of fun. | <i>? fun, fun,</i> <i>rock 'n' roll high school</i> | <i>? fun, fun,</i> <i>rock 'n' roll high school</i> | <i>? fun, fun,</i> <i>rock 'n' roll high school</i> | <i>? fun, fun,</i> <i>rock 'n' roll high school</i> | <i>? fun, fun,</i> <i>rock 'n' roll high school</i> | <i>? fun, fun,</i> <i>rock 'n' roll high school</i> | ? well, we're out there having fun | <i>? kids want a little fun</i> | You two are gonna have nothing but fun. | I don't wanna have fun. I wanna be with Tom. | ? we're out there having fun in the warm California sun | ? we're out there having fun in the warm California sun | ? we're out there having fun in the warm California sun"
fun,68204,Earth Girls Are Easy,1989,"Comedy, Musical, Romance",,,,tt0097257,"* Fun, fun, fun, fun | * Hey, those girls are loads of fun * | I told you not to have fun."
fun,68204,Sabrina the Teenage Witch,1996,"Comedy, Family, Fantasy",,,,tt0117534,"Fun, fun. Fun, fun. | Zelda: Fun, fun, lots of fun. Okay? Fun, fun, fun. | It'll be fun. | Maybe it would be fun. | Zelda: Yeah, have fun, girls. | Come on, Marnie. It'll be fun. | Yeah, you. Come on, join us. It'll be fun."
fun,68204,Dhamaal,2007,"Action, Adventure, Comedy",,,,tt0845448,"Fun, Fun, Fun, Fun. | Fun, Fun, Fun. | Fun, Fun, Fun. | Fun, Fun, Fun. | Fun, Fun, Fun. | Fun, Fun, Fun. | Fun! Fun! | Fun! Fun! | Fun! Fun! | Fun! Fun! | Fun! Fun! | Fun! | Fun. | Fun! | Fun! | Let us have fun. | Come on baby, lets have fun. | Let us dance and have fun. | Let us dance and have fun. | ..Let us dance and have fun. | Who is your daddy, baby, baby? Fun. | Who is your daddy, baby, baby? Fun. | Come on baby, let`s have fun. | Come on come on, let`s have fun. | Come on, come on, let`s have fun. | Come on come on, let`s have fun."
fun,68204,30 Rock,2010,Comedy,Klaus and Greta,4,9,tt1564387,"Fun! Fun! Fun! Fun! | Oh, we're gonna have fun. | Jenna, look, I'm glad that you're having fun, | This thing with James is fun and exciting, | Look, you've had your fun. You've seen New York. | And I want to go out and enjoy it, have fun."
fun,68204,Love in the Maldives,2023,"TV Movie, Romance, Comedy",,,,tt26938504,"Fun, fun, fun, fun. | Fun. | That's okay, we're having fun! | This is so much fun! | Sounds like my kind of fun. | Hope everyone is ready for some fun, | I don't think this is fun, you know? | I don't think I would've had very much fun eating alone. | we both do for work what other people do for fun."
fun,68204,Please Like Me,2016,"Drama, Comedy",Porridge,4,2,tt5711596,"# Fun, fun, fun, fun | Yeah, I had fun anyway. | Isn't that right, Hannah? Mm, fun. | It's not a fun Friday night. | and think that'd be fun for me? | it's fun to pretend to be single for 20 minutes, | I would put her on, but she is having too much fun."
